t_audio_sec,ray_on_target,origin_x,origin_y,origin_z,dir_x,dir_y,dir_z,target_x,target_y,target_z
0.7680,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
0.7893,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
0.8107,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
0.8533,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
0.9173,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
0.9387,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
0.9600,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
0.9813,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.0027,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.0240,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.0453,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.0667,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.0880,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.1307,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.1520,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.1733,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.1947,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.2160,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.2587,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.2800,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.3013,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.3440,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.3653,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.3867,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.4080,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.4507,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.4720,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.4720,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.4933,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.5147,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.5787,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.6213,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.6213,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.6640,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.6853,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.7067,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.7280,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.7493,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.7707,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.7920,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.8347,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.8560,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.9200,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.9413,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.9627,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
1.9840,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.0907,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.1120,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.1547,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.2400,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.2400,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.2613,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.2827,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.3253,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.4533,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.4747,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.4960,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.5173,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.5387,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.5600,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.5813,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.6027,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.6240,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.6453,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.6667,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.7733,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.7947,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.8160,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.8373,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.8587,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.8800,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.9013,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.9227,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
2.9440,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.0720,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.0720,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.0933,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.1147,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.1360,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.1573,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.2000,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.2213,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.2427,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.2640,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.2853,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.3067,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.3280,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.6053,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.6267,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.6693,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.6693,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.7120,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.7547,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.8613,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.8827,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.9040,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
3.9467,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
4.0320,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
4.1600,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
4.1813,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
4.1813,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
4.2027,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
4.2453,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
4.2667,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
4.2880,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
4.3093,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
5.0133,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.0720,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.0720,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.0933,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.1147,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.1360,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.1573,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.1787,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.2000,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.2213,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.2640,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.2853,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.3067,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.4987,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.5200,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.5413,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.5413,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.5627,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.5840,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.6053,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.6267,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.6480,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.6907,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.7120,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.7120,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.7333,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.7547,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.7760,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
11.8187,1,0.0000,-0.0846,0.0722,0.0000,0.0000,1.0000,0.0000,0.0000,3.5000
